0,1,2,3,4,5,6,7
24.0,8.0,1.0,12.0,11.0,13.0,17.0,18.0
18.0,24.0,16.0,26.0,26.0,17.0,22.0,12.0
18.0,22.0,8.0,11.0,10.0,19.0,15.0,20.0
7.0,15.0,18.0,16.0,8.0,14.0,14.0,21.0
5.0,11.0,26.0,15.0,5.0,28.0,4.0,26.0
15.0,12.0,0.0,23.0,27.0,12.0,0.0,20.0
14.0,19.0,6.0,21.0,19.0,18.0,13.0,13.0
5.0,11.0,26.0,15.0,5.0,12.0,4.0,26.0
7.0,15.0,4.0,11.0,6.0,20.0,9.0,21.0
17.0,25.0,18.0,16.0,8.0,14.0,14.0,19.0
14.0,19.0,6.0,18.0,19.0,18.0,13.0,13.0
21.0,10.0,12.0,4.0,22.0,25.0,0.0,21.0
9.0,20.0,15.0,25.0,6.0,7.0,25.0,23.0
17.0,13.0,4.0,11.0,6.0,20.0,9.0,19.0
15.0,18.0,0.0,23.0,27.0,12.0,0.0,20.0
27.0,27.0,15.0,11.0,23.0,16.0,22.0,16.0
3.0,28.0,3.0,14.0,24.0,9.0,19.0,17.0
9.0,1.0,22.0,19.0,12.0,8.0,23.0,26.0
17.0,25.0,4.0,11.0,6.0,20.0,14.0,19.0
7.0,25.0,4.0,11.0,6.0,20.0,9.0,19.0
9.0,1.0,15.0,11.0,23.0,16.0,23.0,26.0
27.0,27.0,22.0,19.0,12.0,8.0,22.0,16.0
14.0,27.0,15.0,11.0,23.0,16.0,22.0,13.0
27.0,19.0,6.0,18.0,19.0,18.0,13.0,16.0
21.0,15.0,12.0,8.0,19.0,6.0,13.0,21.0
25.0,10.0,12.0,4.0,22.0,25.0,0.0,1.0
18.0,22.0,26.0,15.0,10.0,19.0,15.0,20.0
5.0,11.0,8.0,11.0,5.0,28.0,4.0,26.0
7.0,19.0,6.0,16.0,8.0,14.0,14.0,21.0
14.0,15.0,18.0,18.0,19.0,18.0,13.0,13.0
5.0,11.0,26.0,15.0,5.0,28.0,25.0,26.0
9.0,20.0,15.0,25.0,6.0,7.0,4.0,23.0
7.0,27.0,22.0,19.0,8.0,14.0,14.0,21.0
27.0,15.0,18.0,16.0,12.0,8.0,22.0,16.0
5.0,11.0,26.0,15.0,8.0,14.0,14.0,26.0
17.0,25.0,18.0,16.0,5.0,12.0,4.0,19.0
27.0,27.0,22.0,19.0,26.0,17.0,22.0,16.0
18.0,24.0,16.0,26.0,12.0,8.0,22.0,12.0
14.0,4.0,15.0,11.0,23.0,16.0,22.0,13.0
18.0,22.0,8.0,15.0,5.0,19.0,15.0,20.0
5.0,11.0,26.0,11.0,10.0,12.0,4.0,26.0
14.0,27.0,26.0,15.0,23.0,16.0,22.0,13.0
18.0,22.0,15.0,11.0,10.0,19.0,15.0,20.0
7.0,15.0,15.0,11.0,8.0,14.0,14.0,21.0
27.0,27.0,18.0,16.0,23.0,16.0,22.0,16.0
27.0,15.0,18.0,26.0,8.0,14.0,14.0,16.0
7.0,3.0,18.0,16.0,12.0,8.0,22.0,21.0
7.0,24.0,18.0,16.0,8.0,14.0,14.0,21.0
18.0,15.0,16.0,26.0,12.0,8.0,22.0,12.0
9.0,20.0,15.0,25.0,8.0,14.0,4.0,23.0
5.0,11.0,26.0,15.0,6.0,7.0,14.0,26.0
17.0,25.0,18.0,16.0,5.0,19.0,15.0,20.0
18.0,22.0,8.0,11.0,10.0,12.0,4.0,19.0
5.0,11.0,18.0,16.0,12.0,8.0,22.0,26.0
7.0,3.0,26.0,11.0,10.0,12.0,4.0,21.0
18.0,22.0,26.0,20.0,8.0,14.0,14.0,26.0
21.0,11.0,26.0,15.0,10.0,19.0,15.0,20.0
5.0,11.0,26.0,15.0,23.0,14.0,14.0,21.0
18.0,24.0,18.0,16.0,8.0,14.0,14.0,26.0
18.0,22.0,26.0,15.0,10.0,21.0,15.0,20.0
17.0,25.0,18.0,16.0,5.0,19.0,21.0,20.0
17.0,25.0,18.0,16.0,5.0,8.0,22.0,26.0
5.0,11.0,18.0,16.0,12.0,19.0,21.0,20.0
18.0,22.0,0.0,15.0,10.0,19.0,15.0,20.0
27.0,27.0,18.0,16.0,23.0,16.0,4.0,16.0
5.0,11.0,18.0,16.0,18.0,8.0,22.0,26.0
5.0,11.0,12.0,15.0,5.0,28.0,25.0,26.0
5.0,11.0,26.0,15.0,5.0,12.0,25.0,26.0
5.0,11.0,26.0,15.0,10.0,19.0,15.0,20.0
18.0,22.0,26.0,15.0,6.0,7.0,14.0,26.0
18.0,22.0,26.0,15.0,5.0,19.0,15.0,20.0
5.0,11.0,26.0,15.0,10.0,12.0,4.0,26.0
7.0,3.0,18.0,21.0,12.0,8.0,22.0,21.0
17.0,25.0,18.0,16.0,5.0,19.0,21.0,15.0
5.0,11.0,12.0,2.0,8.0,14.0,25.0,26.0
7.0,15.0,18.0,15.0,5.0,13.0,14.0,21.0
5.0,11.0,26.0,15.0,5.0,12.0,25.0,22.0
5.0,11.0,26.0,15.0,11.0,7.0,14.0,26.0
18.0,22.0,26.0,15.0,6.0,7.0,15.0,20.0
5.0,11.0,26.0,15.0,10.0,19.0,14.0,26.0
5.0,25.0,18.0,16.0,5.0,8.0,22.0,26.0
17.0,11.0,26.0,15.0,6.0,7.0,14.0,26.0
5.0,11.0,8.0,15.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,9.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,5.0,19.0,15.0,20.0
18.0,22.0,26.0,15.0,10.0,28.0,4.0,26.0
21.0,11.0,26.0,15.0,5.0,14.0,14.0,26.0
18.0,22.0,20.0,15.0,8.0,19.0,15.0,20.0
5.0,11.0,18.0,15.0,5.0,28.0,25.0,26.0
5.0,16.0,26.0,15.0,8.0,14.0,14.0,26.0
21.0,11.0,26.0,15.0,5.0,8.0,22.0,26.0
5.0,25.0,18.0,16.0,5.0,14.0,14.0,26.0
18.0,22.0,26.0,15.0,8.0,3.0,15.0,20.0
5.0,4.0,26.0,15.0,10.0,19.0,14.0,26.0
5.0,22.0,26.0,15.0,10.0,14.0,14.0,26.0
18.0,11.0,26.0,15.0,8.0,21.0,15.0,20.0
18.0,22.0,26.0,15.0,5.0,12.0,25.0,20.0
5.0,11.0,26.0,15.0,10.0,21.0,15.0,22.0
17.0,11.0,18.0,15.0,24.0,28.0,25.0,26.0
5.0,11.0,26.0,15.0,20.0,7.0,14.0,26.0
0.0,11.0,26.0,15.0,20.0,7.0,14.0,26.0
18.0,24.0,18.0,8.0,8.0,14.0,14.0,26.0
5.0,11.0,26.0,15.0,20.0,2.0,14.0,26.0
5.0,11.0,2.0,15.0,11.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,5.0,12.0,16.0,26.0
5.0,11.0,26.0,15.0,5.0,12.0,25.0,20.0
18.0,22.0,26.0,15.0,10.0,21.0,15.0,26.0
18.0,22.0,26.0,15.0,5.0,12.0,14.0,5.0
21.0,11.0,26.0,15.0,5.0,14.0,7.0,26.0
5.0,24.0,18.0,16.0,8.0,14.0,14.0,26.0
18.0,25.0,18.0,16.0,5.0,14.0,14.0,26.0
5.0,11.0,26.0,15.0,6.0,7.0,14.0,9.0
18.0,22.0,7.0,15.0,5.0,19.0,14.0,20.0
20.0,11.0,26.0,15.0,11.0,7.0,14.0,26.0
21.0,11.0,26.0,15.0,5.0,14.0,0.0,26.0
17.0,22.0,26.0,15.0,24.0,28.0,25.0,26.0
18.0,11.0,18.0,15.0,10.0,28.0,4.0,26.0
5.0,11.0,26.0,15.0,6.0,7.0,28.0,26.0
5.0,11.0,26.0,15.0,18.0,7.0,14.0,26.0
5.0,27.0,18.0,16.0,8.0,14.0,14.0,26.0
21.0,11.0,26.0,15.0,5.0,14.0,12.0,26.0
5.0,11.0,26.0,15.0,11.0,2.0,14.0,26.0
5.0,11.0,26.0,9.0,6.0,14.0,15.0,26.0
5.0,11.0,26.0,15.0,8.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,10.0,7.0,15.0,26.0
21.0,11.0,26.0,23.0,20.0,7.0,14.0,26.0
5.0,20.0,26.0,15.0,5.0,14.0,14.0,26.0
5.0,11.0,4.0,15.0,18.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,19.0,14.0,14.0,26.0
5.0,11.0,26.0,15.0,10.0,10.0,14.0,22.0
5.0,11.0,26.0,15.0,10.0,21.0,15.0,7.0
21.0,11.0,26.0,15.0,4.0,7.0,28.0,26.0
5.0,11.0,26.0,15.0,5.0,14.0,4.0,26.0
5.0,11.0,26.0,2.0,8.0,7.0,28.0,26.0
5.0,11.0,26.0,15.0,0.0,7.0,14.0,26.0
22.0,11.0,26.0,15.0,20.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,6.0,7.0,14.0,7.0
5.0,11.0,7.0,9.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,8.0,7.0,14.0,0.0
5.0,11.0,26.0,15.0,27.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,5.0,14.0,14.0,26.0
28.0,11.0,26.0,15.0,5.0,7.0,14.0,26.0
5.0,11.0,27.0,15.0,18.0,12.0,16.0,26.0
5.0,11.0,12.0,15.0,11.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,0.0,7.0,26.0,26.0
5.0,24.0,26.0,16.0,11.0,7.0,14.0,26.0
7.0,11.0,26.0,2.0,8.0,7.0,28.0,26.0
5.0,11.0,26.0,6.0,11.0,7.0,14.0,26.0
22.0,0.0,26.0,15.0,20.0,7.0,14.0,26.0
28.0,11.0,26.0,15.0,5.0,14.0,14.0,26.0
28.0,11.0,26.0,15.0,5.0,7.0,14.0,18.0
5.0,11.0,26.0,17.0,19.0,14.0,14.0,26.0
5.0,24.0,26.0,9.0,6.0,7.0,14.0,26.0
28.0,11.0,26.0,9.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,22.0,20.0,7.0,14.0,26.0
5.0,11.0,1.0,17.0,19.0,14.0,14.0,26.0
5.0,11.0,26.0,9.0,11.0,7.0,14.0,26.0
5.0,11.0,26.0,6.0,11.0,7.0,14.0,11.0
5.0,11.0,26.0,9.0,22.0,7.0,14.0,26.0
21.0,11.0,26.0,15.0,0.0,7.0,26.0,26.0
14.0,11.0,26.0,15.0,5.0,7.0,14.0,26.0
5.0,19.0,26.0,15.0,0.0,7.0,26.0,26.0
5.0,6.0,26.0,9.0,6.0,7.0,14.0,26.0
5.0,24.0,26.0,16.0,6.0,7.0,14.0,26.0
14.0,11.0,26.0,15.0,20.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,5.0,7.0,14.0,4.0
5.0,11.0,26.0,15.0,11.0,7.0,14.0,14.0
5.0,11.0,26.0,15.0,5.0,7.0,14.0,28.0
5.0,11.0,26.0,24.0,11.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,5.0,7.0,3.0,26.0
5.0,24.0,26.0,15.0,27.0,7.0,14.0,26.0
5.0,11.0,26.0,16.0,11.0,23.0,14.0,26.0
5.0,11.0,11.0,15.0,6.0,7.0,14.0,26.0
14.0,11.0,26.0,15.0,20.0,7.0,23.0,26.0
5.0,11.0,26.0,9.0,11.0,23.0,14.0,26.0
5.0,8.0,26.0,9.0,6.0,7.0,14.0,26.0
14.0,11.0,26.0,15.0,0.0,7.0,14.0,26.0
5.0,11.0,18.0,15.0,5.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,6.0,7.0,14.0,19.0
5.0,11.0,26.0,9.0,11.0,16.0,14.0,26.0
5.0,11.0,26.0,1.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,2.0,7.0,14.0,26.0
5.0,7.0,26.0,16.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,8.0,5.0,7.0,14.0,26.0
5.0,11.0,26.0,9.0,5.0,7.0,14.0,28.0
13.0,8.0,26.0,9.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,9.0,6.0,7.0,1.0,26.0
15.0,11.0,26.0,9.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,5.0,7.0,14.0,0.0
5.0,11.0,26.0,15.0,5.0,7.0,0.0,26.0
5.0,11.0,1.0,9.0,6.0,7.0,14.0,26.0
5.0,11.0,26.0,9.0,5.0,7.0,14.0,0.0
5.0,15.0,26.0,8.0,5.0,7.0,14.0,26.0
5.0,11.0,26.0,19.0,5.0,7.0,14.0,26.0
5.0,11.0,26.0,8.0,6.0,7.0,13.0,26.0
5.0,11.0,26.0,28.0,6.0,7.0,14.0,26.0
5.0,25.0,26.0,15.0,5.0,7.0,14.0,26.0
5.0,11.0,26.0,15.0,2.0,7.0,27.0,26.0
5.0,11.0,26.0,8.0,5.0,7.0,14.0,4.0
5.0,11.0,26.0,8.0,5.0,24.0,14.0,26.0
5.0,1.0,26.0,1.0,6.0,7.0,14.0,26.0
2.0,11.0,26.0,8.0,6.0,7.0,13.0,26.0
21.0,11.0,26.0,1.0,6.0,7.0,14.0,26.0
14.0,11.0,26.0,9.0,6.0,7.0,25.0,26.0
5.0,11.0,26.0,15.0,5.0,7.0,9.0,26.0
